iteration,curr policy return,max return,median return,min return,avg return,std return,avg rollout len,num total samples,min mag policy param,max mag policy param,min expl strat std,avg expl strat std,max expl strat std,expl strat entropy
0,-19.0334,1060.2338,-330.2228,-3053.7798,-402.8571,432.6843,1000.0,1521000,0.0003568750398699194,-4.605170249938965,0.9070000052452087,0.9070000052452087,0.9070000052452087,-13.413299560546875
1,1060.2338,1245.3143,-505.9065,-3081.3047,-764.6565,974.2694,1000.0,3042000,0.0008240789175033569,-4.717735290527344,0.822700023651123,0.822700023651123,0.822700023651123,-28.245500564575195
2,1245.3143,1645.118,-482.3121,-2899.955,-747.6004,1079.4526,1000.0,4563000,0.0023081302642822266,-5.679598808288574,0.7462000250816345,0.7462000250816345,0.7462000250816345,-43.077701568603516
3,1645.118,1679.4419,-205.1204,-2977.4501,-707.0977,1187.5296,1000.0,6084000,0.0023488355800509453,-4.991035461425781,0.676800012588501,0.676800012588501,0.676800012588501,-inf
4,1679.4419,1679.4419,-473.8602,-3135.6127,-842.7666,1226.9802,1000.0,7605000,-0.0001441787462681532,4.675770282745361,0.7106999754905701,0.7106999754905701,0.7106999754905701,-50.22050094604492
5,1679.4419,1679.4419,-486.2611,-3119.9872,-851.9008,1212.2436,1000.0,9126000,-0.0001441787462681532,4.675770282745361,0.7462000250816345,0.7462000250816345,0.7462000250816345,-43.077701568603516
6,1679.4419,1679.4419,-472.5475,-2931.4524,-862.4238,1231.215,1000.0,10647000,-0.0001441787462681532,4.675770282745361,0.7835000157356262,0.7835000157356262,0.7835000157356262,-35.661598205566406
7,1679.4419,1679.4419,-398.0494,-2935.0101,-810.0842,1226.7375,1000.0,12168000,-0.0001441787462681532,4.675770282745361,0.822700023651123,0.822700023651123,0.822700023651123,-28.245500564575195
8,1679.4419,1679.4419,-462.7252,-2972.3832,-840.7419,1218.1139,1000.0,13689000,-0.0001441787462681532,4.675770282745361,0.8637999892234802,0.8637999892234802,0.8637999892234802,-20.82939910888672
9,1679.4419,1679.4419,-562.5994,-2959.5719,-895.7714,1230.4975,1000.0,15210000,-0.0001441787462681532,4.675770282745361,0.9070000052452087,0.9070000052452087,0.9070000052452087,-13.413299560546875
10,1679.4419,1679.4419,-566.098,-3167.0169,-916.8518,1247.4426,1000.0,16731000,-0.0001441787462681532,4.675770282745361,0.9524000287055969,0.9524000287055969,0.9524000287055969,-5.997200012207031
11,1679.4419,1679.4419,-682.5631,-2883.3771,-910.9462,1237.5835,1000.0,18252000,-0.0001441787462681532,4.675770282745361,1.0,1.0,1.0,1.4189000129699707
12,1679.4419,1679.4419,-664.1556,-3119.7865,-924.3692,1249.9018,1000.0,19773000,-0.0001441787462681532,4.675770282745361,1.0499999523162842,1.0499999523162842,1.0499999523162842,8.835000038146973
13,1679.4419,1679.4419,-566.2331,-2951.5676,-902.4849,1225.6672,1000.0,21294000,-0.0001441787462681532,4.675770282745361,1.1024999618530273,1.1024999618530273,1.1024999618530273,16.251100540161133
14,1679.4419,1679.4419,-677.4386,-3062.0183,-963.468,1229.9734,1000.0,22815000,-0.0001441787462681532,4.675770282745361,1.1576000452041626,1.1576000452041626,1.1576000452041626,23.667200088500977
15,1679.4419,1679.4419,-690.4692,-3025.0125,-965.9902,1229.5522,1000.0,24336000,-0.0001441787462681532,4.675770282745361,1.215499997138977,1.215499997138977,1.215499997138977,31.08329963684082
16,1679.4419,1679.4419,-679.8396,-3049.9647,-1006.7947,1236.9915,1000.0,25857000,-0.0001441787462681532,4.675770282745361,1.2762999534606934,1.2762999534606934,1.2762999534606934,38.4994010925293
17,1679.4419,1679.4419,-654.9119,-2977.3328,-957.719,1220.5103,1000.0,27378000,-0.0001441787462681532,4.675770282745361,1.3401000499725342,1.3401000499725342,1.3401000499725342,inf
18,1679.4419,1679.4419,-688.9258,-2917.8175,-978.2918,1249.3799,1000.0,28899000,-0.0001441787462681532,4.675770282745361,1.407099962234497,1.407099962234497,1.407099962234497,inf
19,1679.4419,1679.4419,-676.8018,-2921.4807,-984.9729,1226.1458,1000.0,30420000,-0.0001441787462681532,4.675770282745361,1.4774999618530273,1.4774999618530273,1.4774999618530273,inf
20,1679.4419,1679.4419,-677.3863,-3093.4631,-970.3192,1212.4372,1000.0,31941000,-0.0001441787462681532,4.675770282745361,1.551300048828125,1.551300048828125,1.551300048828125,inf
21,1679.4419,1679.4419,-596.7802,-2942.3946,-932.8259,1201.5559,1000.0,33462000,-0.0001441787462681532,4.675770282745361,1.6289000511169434,1.6289000511169434,1.6289000511169434,inf
22,1679.4419,1679.4419,-695.2057,-3044.6087,-1016.1048,1213.2373,1000.0,34983000,-0.0001441787462681532,4.675770282745361,1.7102999687194824,1.7102999687194824,1.7102999687194824,inf
23,1679.4419,1679.4419,-698.4594,-2975.8004,-1013.4888,1208.7628,1000.0,36504000,-0.0001441787462681532,4.675770282745361,1.7958999872207642,1.7958999872207642,1.7958999872207642,inf
